PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40725527,Ki-67 as a Predictor of Metastasis in Adrenocortical Carcinoma: Artificial Intelligence Insights from Retrospective Imaging Data.,2025 Jul 08,,,
40725216,Effects of Targeted Radionuclide Therapy on Cancer Cells Beyond the Ablative Radiation Dose.,2025 Jul 20,Ferro-Flores Guillermina; Azorín-Vega Erika; Ocampo-García Blanca; Luna-Gutiérrez Myrna; Cruz-Nova Pedro; Meléndez-Alafort Laura,,
40724929,Use of Radiomics in Characterizing Tumor Hypoxia.,2025 Jul 11,,,
40723189,"Temporal Trends and Patient Stratification in Lung Cancer: A Comprehensive Clustering Analysis from Timis County, Romania.",2025 Jul 10,,,
40723188,Metastatic Melanoma Prognosis Prediction Using a TC Radiomic-Based Machine Learning Model: A Preliminary Study.,2025 Jul 10,Guerrisi Antonino; Maccallini Maria Teresa; Falcone Italia; Valenti Alessandro; Miseo Ludovica; Ungania Sara; Valenti Fabio; Cerro Marianna; Desiderio Flora; Calabrò Fabio; Ferraresi Virginia; Russillo Michelangelo,,
40722803,Early Detection of Pancreatic Cancer: Current Advances and Future Opportunities.,2025 Jul 15,Adeniran Esther A; Qureshi Touseef Ahmad; Li Debiao; Gong Jun; Pandol Stephen J; Jiang Yi,,
40722715,Knee Osteoarthritis Diagnosis: Future and Perspectives.,2025 Jul 04,Favreau Henri; Chennen Kirsley; Feruglio Sylvain; Perennes Elise; Anton Nicolas; Vandamme Thierry; Jessel Nadia; Poch Olivier; Conzatti Guillaume,,
40722587,Hydrocephalus: Molecular and Neuroimaging Biomarkers in Diagnosis and Management.,2025 Jun 20,,,
40722579,Deep Learning Network Selection and Optimized Information Fusion for Enhanced COVID-19 Detection: A Literature Review.,2025 Jul 21,,,
40722571,"Machine Learning for Coronary Plaque Characterization: A Multimodal Review of OCT, IVUS, and CCTA.",2025 Jul 19,Boi Alberto; Mannelli Lorenzo; Suri Jasjit,,
40722557,Exploration of 3D Few-Shot Learning Techniques for Classification of Knee Joint Injuries on MR Images.,2025 Jul 18,Hung Truong Nguyen Khanh,,
40722501,Breast Cancer Classification with Various Optimized Deep Learning Methods.,2025 Jul 10,,,
40722496,Deep Learning-Based Detection of Separated Root Canal Instruments in Panoramic Radiographs Using a U2-Net Architecture.,2025 Jul 09,Akkaya Nurullah,"Dentmetria Inc., 34726 İstanbul, Turkey.",
40722484,"Artificial Intelligence in Thoracic Surgery: Transforming Diagnostics, Treatment, and Patient Outcomes.",2025 Jul 08,Lopes Sara,,
40722480,Machine Learning and Deep Learning Hybrid Approach Based on Muscle Imaging Features for Diagnosis of Esophageal Cancer.,2025 Jul 08,,,
40722446,AI-Enhanced 3D Transperineal Ultrasound: Advancing Biometric Measurements for Precise Prolapse Severity Assessment.,2025 Jul 11,,,
40722425,OKEN: A Supervised Evolutionary Optimizable Dimensionality Reduction Framework for Whole Slide Image Classification.,2025 Jul 04,Pedersen André; Langø Thomas,,
40722390,Adaptive RAG-Assisted MRI Platform (ARAMP) for Brain Metastasis Detection and Reporting: A Retrospective Evaluation Using Post-Contrast T1-Weighted Imaging.,2025 Jun 26,,,
40722385,Advancements in Radiology Report Generation: A Comprehensive Analysis.,2025 Jun 25,,,
40722373,Artificial Intelligence in the Diagnostic Use of Transcranial Doppler and Sonography: A Scoping Review of Current Applications and Future Directions.,2025 Jun 21,Miceli Giuseppe; Basso Maria Grazia; Cocciola Elena; Tuttolomondo Antonino,,
40722321,"Diagnostic, Therapeutic, and Prognostic Applications of Artificial Intelligence (AI) in the Clinical Management of Brain Metastases (BMs).",2025 Jul 08,,,
40722235,AFM-Based Deep Learning Decodes Human Macrophage Mechanophenotypes.,2025 Jul 28,Chen Jiaxin; Yang Wenjie; Li Haonan; Li Qi; Li Su; Liu Yingnan; Liu Fangfang; Xu Yunping; Italiani Paola; Boraschi Diana; Zhang Guofang; Galluzzi Massimiliano; Li Yang,,
40722142,Unveiling key pathomic features for automated diagnosis and Gleason grade estimation in prostate cancer.,2025 Jul 28,Brancato Valentina; Verdicchio Mario; Cavaliere Carlo; Salvatore Marco; Aiello Marco,,valentina.brancato@synlab.it.
40722100,Evaluation of the impact of artificial intelligence-assisted image interpretation on the diagnostic performance of clinicians in identifying endotracheal tube position on plain chest X-ray: a multi-case multi-reader study.,2025 Jul 28,Maskell Giles; Black Douglas; Shadmaan Amied; Aylward Peter; Elramlawy Moustafa; Lam Kin; Harford Mirae; Aaron Louise; Seeley Claire; Luney Matthew,"Reporting and Image Quality Control Ltd, Oxford, UK.",alex.novak@ouh.nhs.uk.
40722011,A radiomics-based interpretable model integrating delayed-phase CT and clinical features for predicting the pathological grade of appendiceal pseudomyxoma peritonei.,2025 Jul 28,Bai Dong; Shi Guanjun; Liang Yuanzi; Li Fang; Wang Zhiqun,,439387525@qq.com.
40721771,CVT-HNet: a fusion model for recognizing perianal fistulizing Crohn's disease based on CNN and ViT.,2025 Jul 28,,,zhangh278@mail.sysu.edu.cn.
40721601,A new low-rank adaptation method for brain structure and metastasis segmentation via decoupled principal weight direction and magnitude.,2025 Jul 28,,,cneagles@sina.com.
40721513,Reevaluating the role of education on cognitive decline and brain aging in longitudinal cohorts across 33 Western countries.,2025 Jul 28,Rogeberg Ole; Brandmaier Andreas M; Cattaneo Gabriele; Düzel Sandra; Kühn Simone; Lindenberger Ulman; Pascual-Leone Alvaro; Solana Javier,,andersmf@psykologi.uio.no.
40721416,Harnessing infrared thermography and multi-convolutional neural networks for early breast cancer detection.,2025 Jul 28,,,o.attallah@aast.edu.
40721279,Deep Learning-Based Acceleration in MRI: Current Landscape and Clinical Applications in Neuroradiology.,2025 Jul 28,Rai Pranjal; Mark Ian T; Soni Neetu; Diehn Felix; Messina Steven A; Benson John C; Madhavan Ajay; Agarwal Amit; Bathla Girish,,
40721260,"Brolucizumab efficacy and safety single-arm descriptive trial in patients with persistent diabetic macular edema (BEST study): protocol for a single-centre, open-label, single-arm clinical trial in China.",2025 Jul 28,,,caodan@gdph.org.cn.
40717183,Recent advances in theranostics and oncology PET: emerging radionuclides and targets.,2025 Jul 27,Honda Maya; Sugawara Shunsuke,,watabe.tadashi.med@osaka-u.ac.jp.
40717073,"Postoperative outcome analysis of chronic rhinosinusitis using transfer learning with pre-trained foundation models based on endoscopic images: a multicenter, observational study.",2025 Jul 27,Luo Xu,"Shanghai ZEHNIT Medical Technology Co.,Ltd., Shanghai, China. luoxu@zehnit.cn.",hongmengyush@163.com.
40717019,Perinatal artificial intelligence in ultrasound (PAIR) study: predicting delivery timing.,2025 Dec,Patel Neil; Bunn Robert,,
40716232,Optimization of deep learning models for inference in low resource environments.,2025 Jul 26,Wu Junwen; Panchumarthy Ravi; Karkada Deepthi; Kozlov Alexander; Shamporov Vasily; Suslov Alexander; Lyakhov Daniil; Proshin Maksim; Shah Prashant,,spbakas@iu.edu.
40720822,Patient Perspectives on Artificial Intelligence in Medical Imaging.,2025 Jul 28,Glenning Jeffry; Gualtieri Lisa,,
40720704,The feasibility of Ultra-widefield SS-OCTA to guide laser photocoagulation in retinal vascular diseases.,2025 Jun 24,,,
40720400,Hyperparameter tuned deep learning-driven medical image analysis for intracranial hemorrhage detection.,2025,Lydia E Laxmi,,
40720382,"AI-driven skin cancer detection from smartphone images: A hybrid model using ViT, adaptive thresholding, black-hat transformation, and XGBoost.",2025,,,
40720295,The Prediction of Recurrence of Lumbar Disc Herniation at L5-S1 through Machine Learning Based on Endoscopic Discectomy via the Interlaminar Approach.,2025 Jul 11,,,ntspine@ntu.edu.cn.
40719980,"Advancements in lung cancer: molecular insights, innovative therapies, and future prospects.",2025 Jul 28,Patra Ch Niranjan,"Roland Institute of Pharmaceutical Sciences, Berhampur, Odisha, India.",gurudutta.pattnaik@cutm.ac.in.
40719923,From promise to practice: a scoping review of AI applications in abdominal radiology.,2025 Jul 28,Gupta Pankaj,,nlalwani@montefiore.org.
40719545,Diagnostic Accuracy of AI Models in Detecting Different Inherited Retinal Diseases: A Systematic Review and Meta-Analysis.,2025 Jul 01,,,
40719420,Recognizing amino acid sidechains in a medium-resolution cryo-electron density map.,2025 Aug,,,
40719310,Towards trustworthy artificial intelligence in musculoskeletal medicine: A narrative review on uncertainty quantification.,2025 Jul 28,Rajpurkar Pranav; Pareek Ayoosh,,
40718817,Age of machine learning: new trends in autism spectrum disorder prediction.,2025,Xu Weihong; Li Haibei; Li Junwen; Jin Min,,
40718792,Review of research progress in sepsis-associated acute kidney injury.,2025,,,
40718645,Interpretable artificial intelligence based determination of glioma IDH mutation status directly from histology slides.,2025 Jan-Dec,,,
40718426,The global academic distribution and changes in research hotspots of artificial intelligence in inflammatory bowel disease since 2000.,2025,,,
40718295,Decoding Hidden Pathways: A Comprehensive Exploration of Anomalous Coronary Arteries.,2025 Jun,Vallurupalli Aineesh; Thachathodiyl Rajesh,,
40718076,AI-Based Quantification of Enhancing Tumor Volume on Contrast-Enhanced MRI to Predict Pathologic Response and Prognosis in HCC After HAIC Plus Targeted Therapy and Immunotherapy.,2025,,,
40717806,Development and validation of prediction models for special subtype of primary aldosteronism: patients with negative adrenal CT imaging.,2025,,,
40717652,Novel set of plasma proteins classifies Alzheimer's dementia in African American individuals with high accuracy.,2025 Jul,Kuchenbecker Lindsey A; Thompson Kevin J; Hurst Cheyenne D; Heckman Michael G; Reddy Joseph S; Nguyen Thuy; Casellas Heidi L; Sotelo Katie D; Reddy Delila J; Opdenbosch Bianca M; Tsai Wei; Lucas John A; Willis Floyd B; Day Gregory S; Ramanan Vijay K; Graff-Radford Neill R; Ertekin-Taner Nilufer; Kalari Krishna R; Carrasquillo Minerva M,,
40715865,XVertNet: Unsupervised Contrast Enhancement of Vertebral Structures with Dynamic Self-Tuning Guidance and Multi-Stage Analysis.,2025 Jul 25,Badarne Mohammad,,ella.0519@gmail.com.
40715863,Privacy-Preserving Generation of Structured Lymphoma Progression Reports from Cross-sectional Imaging: A Comparative Analysis of Llama 3.3 and Llama 4.,2025 Jul 25,Dorfner Felix J; Meddeb Aymen,,felix.busch@tum.de.
40715862,Could a New Method of Acromiohumeral Distance Measurement Emerge? Artificial Intelligence vs. Physician.,2025 Jul 25,Dede Burak Tayyip; Çakar İsa; Oğuz Muhammed; Alyanak Bülent; Bağcıer Fatih,,drbrk22.94@gmail.com.
40715822,Diagnostic performance of artificial intelligence models for pulmonary nodule classification: a multi-model evaluation.,2025 Jul 25,,,lukas.mueller@unimedizin-mainz.de.
40715621,AI-driven preclinical disease risk assessment using imaging in UK biobank.,2025 Jul 26,,,dmitrii.seletkov@tum.de.
40715554,CT-free kidney single-photon emission computed tomography for glomerular filtration rate.,2025 Jul 25,,,wwlee@snu.ac.kr.
40715468,A novel hybrid deep learning approach combining deep feature attention and statistical validation for enhanced thyroid ultrasound segmentation.,2025 Jul 26,Banerjee Tathagat,,jekim@inha.ac.kr.
40715366,Multimodal prediction based on ultrasound for response to neoadjuvant chemotherapy in triple negative breast cancer.,2025 Jul 25,Liu Yu; Wei Zhitao,"Guangdong Provincial Key Laboratory of Artificial Intelligence in Medical Image Analysis and Application, Guangzhou, China.; Guangdong Provincial Key Laboratory of Artificial Intelligence in Medical Image Analysis and Application, Guangzhou, China.",shizhenwei@gdph.org.cn.
40715356,Automated characterization of abdominal MRI exams using deep learning.,2025 Jul 25,,,Hersh.Sagreiya@pennmedicine.upenn.edu.
40715330,A novel approach for breast cancer detection using a Nesterov accelerated adam optimizer with an attention mechanism.,2025 Jul 25,,,abeer_saber@du.edu.eg.
40715323,DentoMorph-LDMs: diffusion models based on novel adaptive 8-connected gum tissue and deciduous teeth loss for dental image augmentation.,2025 Jul 26,,,Hana.salem@deltauniv.edu.eg.
40715216,Deep learning application to hyphae and spores identification in fungal fluorescence images.,2025 Jul 26,Tan Wenyu; Chen Shiting; Xu Xiaoya; Zhang Dadong; Chen Peilin,"SODA Data Technology Inc, Shanghai, China.; SODA Data Technology Inc, Shanghai, China.; Department of Clinical and Translational Medicine, 3D Medicines Inc, Shanghai, China.; Department of Clinical and Translational Medicine, 3D Medicines Inc, Shanghai, China.; SODA Data Technology Inc, Shanghai, China. dsmscm@3dmedcare.com.",zhuminhs@fudan.edu.cn.
40715157,Deep learning-based image classification for integrating pathology and radiology in AI-assisted medical imaging.,2025 Jul 25,Lu Chenming; Zhang Jiayin; Liu Ren,,eite859@163.com.
40715117,Oligomer-based functions of mitochondrial porin.,2025 Jul 25,Yamamori Yu; Tomii Kentaro; Zuttion Solène; Senger Bruno; Friant Sylvie; Becker Hubert D,,tendo@cc.kyoto-su.ac.jp.
40715115,A Fundus Image Dataset for AI-based Artery-Vein Vessel Segmentation.,2025 Jul 25,Gan Run; Chen Lu; Zhang Shaochong,,malan@sz.tsinghua.edu.cn.
40715095,Annotated intraoral image dataset for dental caries detection.,2025 Jul 25,,,ayeshanooruddin100@gmail.com.
40715051,Training a high-performance retinal foundation model with half-the-data and 400 times less compute.,2025 Jul 25,,,j.engelmann@ucl.ac.uk.
40714931,LGF-Net: A multi-scale feature fusion network for thyroid nodule ultrasound image classification.,2025 Aug,Hua Zhan,,
40714864,Deep Learning Can be Used to Classify the Disease Status of the Canine Middle Ear From Computed Tomographic Images.,2025 Sep,,,
40713885,A review on computer-aided diagnostic system to classify the disorders of the gastrointestinal tract.,2025 Jul 26,Damaševičius Robertas,,ynam.cse@gmail.com.
40713558,Use of X means and C4.5 algorithms on lateral cephalometric measurements to identify craniofacial patterns.,2025 Jul 26,,,birolozel@gmail.com.
40713389,Volumetric tumor burden and liquid biopsy metrics as emerging biomarkers in solid cancer.,2025 Jul 25,,,steven.rowe@utsouthwestern.edu.
40713237,The Clinical Utility of Ultrasound and Serological Features Derived Nomogram for the Prediction of Lateral Lymph Node Metastases in Medullary Thyroid Cancer.,2025 Jul 25,Xu Limin; Chen Chen; Li Cong; Xu Bo; Wang Vicky Yang; Xu Dong; Zhou Lingyan,"Department of Diagnostic Ultrasound Imaging & Interventional Therapy, Zhejiang Cancer Hospital, Hangzhou Institute of Medicine (HIM), Chinese Academy of Sciences, Hangzhou, China; Center of Intelligent Diagnosis and Therapy (Taizhou), Hangzhou Institute of Medicine (HIM), Chinese Academy of Sciences, Taizhou, China; Wenling Institute of Big Data and Artificial Intelligence in Medicine, Taizhou, China; Taizhou Key Laboratory of Minimally Invasive Interventional Therapy & Artificial Intelligence, Taizhou Campus of Zhejiang Cancer Hospital (Taizhou Cancer Hospital), Taizhou, China; Zhejiang Provincial Research Center for Cancer Intelligent Diagnosis and Molecular Technology, Hangzhou, China.; Department of Diagnostic Ultrasound Imaging & Interventional Therapy, Zhejiang Cancer Hospital, Hangzhou Institute of Medicine (HIM), Chinese Academy of Sciences, Hangzhou, China; Zhejiang Provincial Research Center for Cancer Intelligent Diagnosis and Molecular Technology, Hangzhou, China. Electronic address: canning.zhou@163.com.",canning.zhou@163.com.
